Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,Contact_angle,Thickness,Solvent_solubility_parameter,xw_wt_percent,Temperature,Permeate_pressure,J_total_flux,a_separation_factor,Polymer_BRICS,Solvent_BRICS,PS_pair_BRICS,Thickness_um,Solvent_solubility_parameter_Mpa_sqrt,Temp_C,Permeate_pressure_mbar,J_Total_flux_kg_m_2h_1,a_Separation_factor_wo
p84,Cc2ccc(Cc1ccc(C)cc1)cc2.Cc1cc(C)ccc1n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O,ipa,CC(C)O,82.3,,,15.0,,,,,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1cccc(C)c1', 'O=C1NC(=O)c2ccccc21', '.', 'CC(C)O']",['CC(C)O'],"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'Cc1cccc(C)c1', 'O=C1NC(=O)c2ccccc21', '.', 'CC(C)O']",20.5,23.5,90,1.0,0.1728,5265.366081
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,25,1.3,0.0293,4.930693
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,20.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,25,1.3,0.0561,8.19802
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,25.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,25,1.3,0.0967,11.049505
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,25.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,75,1.3,0.495,12.33663366
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,20.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,75,1.3,0.9406,2.98019802
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,15.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,75,1.3,2.1782,2.00990099
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,75,1.3,3.4653,1.663366337
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,5.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,75,1.3,7.8713,3.673267327
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",10.0,23.5,30,0.06,0.123,77.0
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,15.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",10.0,23.5,30,0.06,0.145,46.0
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,20.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",10.0,23.5,30,0.06,0.163,30.0
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,40,3.0,0.0311,142.9
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,8.0,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,50,3.0,0.0328,115.15
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,40,3.0,0.0355,77.91
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,8.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,50,3.0,0.0357,148.27
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,15.0,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,40,3.0,0.0376,103.76
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,40,3.0,0.0419,137.44
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,50,3.0,0.0487,98.1
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,33,3.0,0.0489,78.27
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,50,3.0,0.052,80.66
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,60,3.0,0.0522,90.23
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,50,3.0,0.0528,105.46
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,50,3.0,0.0535,92.23
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,50,3.0,0.0546,100.58
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,50,3.0,0.0548,98.09
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,50,3.0,0.055,96.37
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,50,3.0,0.0559,82.22
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,50,3.0,0.0571,87.19
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,50,3.0,0.058,90.14
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,15.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,40,3.0,0.0602,111.77
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,15.0,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,40,3.0,0.0619,98.82
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,50,3.0,0.0621,84.37
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,60,3.0,0.0678,105.93
pva,C(C)C(C)(O),ipa,CC(C)O,74.0,,,10.0,,,,,"['CCC(C)O', '.', 'CC(C)O']",['CC(C)O'],"['CCC(C)O', '.', 'CC(C)O']",22.0,23.5,60,3.0,0.0683,92.11
pva,C(C)C(C)(O),ethanol,CCO,74.0,,,12.5,,,,,"['CCC(C)O', '.', 'CCO']",['CCO'],"['CCC(C)O', '.', 'CCO']",22.0,26.5,50,3.0,0.0688,71.06
