Index,Polymer,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar,J_Total_flux_kg_m_2h_1,a_Separation_factor_wo,Sum_of_frags
72,pva,74,22,ipa,23.5,12.5,50,3,0.0535,92.23,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,pva,74,22,ipa,23.5,12.5,33,3,0.0538,120.46,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,pva,74,22,ipa,23.5,12.5,50,3,0.0546,100.58,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,pva,74,22,ipa,23.5,12.5,50,3,0.0548,98.09,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,pva,74,22,ipa,23.5,12.5,50,3,0.055,96.37,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,pva,74,22,ethanol,26.5,12.5,50,3,0.0559,82.22,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,pva,74,22,ethanol,26.5,12.5,50,3,0.0571,87.19,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,pva,74,22,ethanol,26.5,12.5,50,3,0.0571,75.07,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,pva,74,22,ethanol,26.5,12.5,50,3,0.058,90.14,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,pva,74,22,ipa,23.5,12.5,50,3,0.0587,95.27,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
82,pva,74,22,ipa,23.5,15,40,3,0.0602,111.77,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83,pva,74,22,ethanol,26.5,15,40,3,0.0619,98.82,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
84,pva,74,22,ethanol,26.5,12.5,50,3,0.0621,84.37,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
85,pva,74,22,ethanol,26.5,12.5,50,3,0.0658,79.37,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,pva,74,22,ethanol,26.5,10,60,3,0.0678,105.93,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,pva,74,22,ipa,23.5,10,60,3,0.0683,92.11,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
88,pva,74,22,ethanol,26.5,12.5,50,3,0.0688,71.06,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,pva,74,22,ipa,23.5,15,40,3,0.0711,105.89,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90,pva,74,22,ipa,23.5,17,50,3,0.0764,103.3,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,pva,74,22,ethanol,26.5,17,50,3,0.0846,88.26,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,pva,74,22,ipa,23.5,15,60,3,0.0853,69.11,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,pva,74,22,ipa,23.5,15,60,3,0.0916,88.81,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
94,pva,74,22,ipa,23.5,10,60,3,0.0977,87.81,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
