Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,Sum_of_Frags,SD,Polymer_SELFIES,Solvent_SELFIES
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,IPA,CC(C)O,"[4, 0, 1, 2, 0, 0, 0, 1, 4, 1, 0, 0]",1.61,[C][O][C][=C][C][=C][Branch2_1][Branch1_1][C][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][#C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S][C][=C][Ring2][Ring1][Branch1_3][C][=C][Ring2][Ring1][S],[C][C][Branch1_1][C][C][O]
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,IPA,CC(C)O,"[2, 0, 1, 0, 5, 2, 0, 0, 3, 1, 0, 0]",2.22,[C][C][=C][C][=C][Branch2_1][Branch1_2][=N][C][C][=C][C][=C][Branch2_1][Branch1_1][S][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][Branch1_1][C][C][=C][Ring2][Ring1][S][C][=C][Ring2][Ring2][Branch1_2][C][=C][Ring2][Ring2][=N],[C][C][Branch1_1][C][C][O]
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,IPA,CC(C)O,"[5, 1, 1, 0, 5, 2, 0, 0, 4, 1, 0, 0]",5.22,[C][C][=C][C][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][C][Branch2_1][Branch1_1][=N][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][=C][Ring2][Ring1][#C][C][C][Ring2][Ring2][Branch1_2][Branch1_1][C][C][C],[C][C][Branch1_1][C][C][O]
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,IPA,CC(C)O,"[4, 0, 1, 2, 4, 2, 0, 0, 5, 1, 0, 0]",1.12,[C][C][=C][C][=C][C][Branch2_1][Branch1_2][=C][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Branch1_1][Branch2_1][O][C][=C][C][=C][Branch2_1][Ring2][O][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch2_1][Ring1][Branch2_1][O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][Branch1_3][=O][=C][Ring2][Ring2][=C],[C][C][Branch1_1][C][C][O]
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Ethanol,CCO,"[5, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",15.13,[C][/C][Branch1_1][C][C][=C][Branch1_1][C][C][\Siexpl][Branch1_1][C][C][Branch1_1][C][C][C],[C][C][O]
PDMS,C[Si](C)(C)OC,Ethanol,CCO,"[3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",3.6,[C][Siexpl][Branch1_1][C][C][Branch1_1][C][C][O][C],[C][C][O]
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Ethanol,CCO,"[1, 576, 0, 75, 25, 25, 0, 0, 0, 1, 0, 0]",12.29,[C][N][C][C][C][C][C][C][C][C][C][C][C][C][Branch1_2][C][=O][O][C][C][C][C][C][O][C][C][C][C][O][C][C][C][C][C],[C][C][O]
PAN,CCC(C)C#N,Ethanol,CCO,"[1, 2, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.33,[C][C][C][Branch1_1][C][C][C][#N],[C][C][O]
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Ethanol,CCO,"[1, 1, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0]",2.76,[C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S],[C][C][O]
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Ethanol,CCO,"[3, 1, 0, 2, 0, 0, 0, 1, 4, 1, 0, 0]",2.28,[C][O][C][=C][C][=C][Branch2_1][Branch1_1][C][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][#C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S][C][=C][Ring2][Ring1][Branch1_3][C][=C][Ring2][Ring1][S],[C][C][O]
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Ethanol,CCO,"[1, 1, 0, 0, 5, 2, 0, 0, 3, 1, 0, 0]",3.17,[C][C][=C][C][=C][Branch2_1][Branch1_2][=N][C][C][=C][C][=C][Branch2_1][Branch1_1][S][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][Branch1_1][C][C][=C][Ring2][Ring1][S][C][=C][Ring2][Ring2][Branch1_2][C][=C][Ring2][Ring2][=N],[C][C][O]
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Ethanol,CCO,"[4, 2, 0, 0, 5, 2, 0, 0, 4, 1, 0, 0]",6.3,[C][C][=C][C][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][C][Branch2_1][Branch1_1][=N][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][=C][Ring2][Ring1][#C][C][C][Ring2][Ring2][Branch1_2][Branch1_1][C][C][C],[C][C][O]
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Ethanol,CCO,"[3, 1, 0, 2, 4, 2, 0, 0, 5, 1, 0, 0]",1.25,[C][C][=C][C][=C][C][Branch2_1][Branch1_2][=C][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Branch1_1][Branch2_1][O][C][=C][C][=C][Branch2_1][Ring2][O][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch2_1][Ring1][Branch2_1][O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][Branch1_3][=O][=C][Ring2][Ring2][=C],[C][C][O]
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Methanol,CO,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",2.57,[C][/C][Branch1_1][C][C][=C][Branch1_1][C][C][\Siexpl][Branch1_1][C][C][Branch1_1][C][C][C],[C][O]
PDMS,C[Si](C)(C)OC,Methanol,CO,"[3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",0.4,[C][Siexpl][Branch1_1][C][C][Branch1_1][C][C][O][C],[C][O]
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Methanol,CO,"[1, 575, 0, 75, 25, 25, 0, 0, 0, 1, 0, 0]",11.47,[C][N][C][C][C][C][C][C][C][C][C][C][C][C][Branch1_2][C][=O][O][C][C][C][C][C][O][C][C][C][C][O][C][C][C][C][C],[C][O]
PAN,CCC(C)C#N,Methanol,CO,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",2.91,[C][C][C][Branch1_1][C][C][C][#N],[C][O]
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Methanol,CO,"[1, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0]",3.29,[C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S],[C][O]
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Methanol,CO,"[3, 0, 0, 2, 0, 0, 0, 1, 4, 1, 0, 0]",2.63,[C][O][C][=C][C][=C][Branch2_1][Branch1_1][C][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][#C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S][C][=C][Ring2][Ring1][Branch1_3][C][=C][Ring2][Ring1][S],[C][O]
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Methanol,CO,"[1, 0, 0, 0, 5, 2, 0, 0, 3, 1, 0, 0]",2.5,[C][C][=C][C][=C][Branch2_1][Branch1_2][=N][C][C][=C][C][=C][Branch2_1][Branch1_1][S][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][Branch1_1][C][C][=C][Ring2][Ring1][S][C][=C][Ring2][Ring2][Branch1_2][C][=C][Ring2][Ring2][=N],[C][O]
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Methanol,CO,"[4, 1, 0, 0, 5, 2, 0, 0, 4, 1, 0, 0]",8.01,[C][C][=C][C][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][C][Branch2_1][Branch1_1][=N][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][=C][Ring2][Ring1][#C][C][C][Ring2][Ring2][Branch1_2][Branch1_1][C][C][C],[C][O]
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Methanol,CO,"[3, 0, 0, 2, 4, 2, 0, 0, 5, 1, 0, 0]",2.28,[C][C][=C][C][=C][C][Branch2_1][Branch1_2][=C][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Branch1_1][Branch2_1][O][C][=C][C][=C][Branch2_1][Ring2][O][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch2_1][Ring1][Branch2_1][O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][Branch1_3][=O][=C][Ring2][Ring2][=C],[C][O]
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Water,O,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1]",0.03,[C][/C][Branch1_1][C][C][=C][Branch1_1][C][C][\Siexpl][Branch1_1][C][C][Branch1_1][C][C][C],[O]
PDMS,C[Si](C)(C)OC,Water,O,"[2, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0]",0.86,[C][Siexpl][Branch1_1][C][C][Branch1_1][C][C][O][C],[O]
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Water,O,"[0, 575, 0, 75, 25, 25, 0, 0, 0, 2, 0, 0]",0.3,[C][N][C][C][C][C][C][C][C][C][C][C][C][C][Branch1_2][C][=O][O][C][C][C][C][C][O][C][C][C][C][O][C][C][C][C][C],[O]
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Water,O,"[0, 0, 0, 1, 0, 0, 0, 1, 2, 2, 0, 0]",0.56,[C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S],[O]
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Water,O,"[2, 0, 0, 2, 0, 0, 0, 1, 4, 2, 0, 0]",0.96,[C][O][C][=C][C][=C][Branch2_1][Branch1_1][C][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][#C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S][C][=C][Ring2][Ring1][Branch1_3][C][=C][Ring2][Ring1][S],[O]
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Water,O,"[0, 0, 0, 0, 5, 2, 0, 0, 3, 2, 0, 0]",1.74,[C][C][=C][C][=C][Branch2_1][Branch1_2][=N][C][C][=C][C][=C][Branch2_1][Branch1_1][S][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][Branch1_1][C][C][=C][Ring2][Ring1][S][C][=C][Ring2][Ring2][Branch1_2][C][=C][Ring2][Ring2][=N],[O]
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Water,O,"[3, 1, 0, 0, 5, 2, 0, 0, 4, 2, 0, 0]",0.99,[C][C][=C][C][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][C][Branch2_1][Branch1_1][=N][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][=C][Ring2][Ring1][#C][C][C][Ring2][Ring2][Branch1_2][Branch1_1][C][C][C],[O]
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Water,O,"[2, 0, 0, 2, 4, 2, 0, 0, 5, 2, 0, 0]",0.2,[C][C][=C][C][=C][C][Branch2_1][Branch1_2][=C][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Branch1_1][Branch2_1][O][C][=C][C][=C][Branch2_1][Ring2][O][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch2_1][Ring1][Branch2_1][O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][Branch1_3][=O][=C][Ring2][Ring2][=C],[O]
